16-10-2025 12:42:29 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Enviando hotkey 'win' + 'd' para mostrar el escritorio.
16-10-2025 12:42:29 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Intentando ejecutar: C:/Users/administrator.ENERGIZANDO/Desktop/SISTEMA UNO CLOUD.lnk
16-10-2025 12:42:29 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Ejecutando: C:/Users/administrator.ENERGIZANDO/Desktop/SISTEMA UNO CLOUD.lnk
16-10-2025 12:45:54 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Se va a descargar el archivo base de la ruta //10.238.99.5/temporales/ROCKETBOT/Copia de Inusmo busqueda masiva - UT Ticenergi.xlsx
16-10-2025 12:45:56 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Se va a descargar exitosamente el archivo base en C:/Users/administrator.ENERGIZANDO/Documents/01_RecuperacionSoportes/Input/Inusmo busqueda masiva - UT Ticenergi.xlsx
16-10-2025 12:45:56 | TRACE | Task: 016_ObtenerInformacionArchivoBase | Desc: Comienza el proceso de extraccion de informacion del archivo base.
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Filtrado por tipo_docto: de 31,048 a 22,526 filas.
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Archivo leido exitosamente: C:/Users/administrator.ENERGIZANDO/Documents/01_RecuperacionSoportes/Input/Inusmo busqueda masiva - UT Ticenergi.xlsx
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Dimensiones del DataFrame: (22526, 7)
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: Columnas extraidas: ['empresa', 'tipo_docto', 'nro_docto', 'detalle', 'documento_cruce', 'fecha_procesamiento', 'estado_procesamiento']
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: RESUMEN DE DATOS:
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc:    Total de filas: 22,526
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc:    Total de columnas: 7
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc: VALORES NULOS POR COLUMNA:
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc:    empresa: 0 (0.0%)
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc:    tipo_docto: 0 (0.0%)
16-10-2025 12:46:15 | INFO | Task: 003_AbrirSiesa8.5 | Desc:    nro_docto: 0 (0.0%)
